ID	AB檔名	檔案路徑種類	資源名
ID	Assetbundle	AssetbundlePathKind	ResourceName
1	ArmyChange_BG	3	ArmyChange_BG
2	bg_achievement_item	3	bg_achievement_item
3	bg_armyTab	3	bg_armyTab
4	bg_back_btn_resultui	3	bg_back_btn_resultui
5	bg_background_deckui	3	bg_background_deckui
6	bg_background01	3	bg_background01
7	bg_battle_deck	3	bg_battle_deck
8	bg_battledeck_cardbg_deckui	3	bg_battledeck_cardbg_deckui
9	bg_card_deck	3	bg_card_deck
10	bg_card_deck_translucent	3	bg_card_deck_translucent
11	bg_card_number	3	bg_card_number
12	bg_countdown	3	bg_countdown
13	bg_countdown_Ver2	3	bg_countdown_Ver2
14	bg_deck_card_panel	3	bg_deck_card_panel
15	bg_deck_name	3	bg_deck_name
16	bg_end_round	3	bg_end_round
17	bg_fightbtn	3	bg_fightbtn
18	bg_gacha	3	bg_gacha
19	bg_heroInfo_forBattle	3	bg_heroInfo_forBattle
20	bg_level	3	bg_level
21	bg_levelInfo	3	bg_levelInfo
22	bg_main_menu	3	bg_main_menu
23	bg_main_menu1	3	bg_main_menu1
24	bg_match	3	bg_match
25	bg_panel_cardinfoui	3	bg_panel_cardinfoui
26	bg_panel_enemy	3	bg_panel_enemy
27	bg_panel_heronmae_heroinfoui	3	bg_panel_heronmae_heroinfoui
28	bg_panel_playerinfo	3	bg_panel_playerinfo
29	bg_panel_result_above_resultui	3	bg_panel_result_above_resultui
30	bg_panel_skillinfo_cardinfoui	3	bg_panel_skillinfo_cardinfoui
31	bg_player_name_resultui	3	bg_player_name_resultui
32	bg_player_score_panel	3	bg_player_score_panel
33	bg_popup_menu_bg	3	bg_popup_menu_bg
34	bg_result_ui_background	3	bg_result_ui_background
35	bg_resultui_panel	3	bg_return
36	bg_tile_count	3	bg_tile_count
37	bg_tile_operation	3	bg_tile_operation
38	GachaBG_HD	3	GachaBG_HD
39	Img_BattleDeckCardMask	3	Img_BattleDeckCardMask
40	Img_BlackMask	3	Img_BlackMask
41	Panel_BattleDeckCard	3	Panel_BattleDeckCard
42	Paper	3	Paper
43	btn_army2	3	btn_army2
44	btn_armyTab	3	btn_armyTab
45	btn_armyTabArrow_left	3	btn_armyTabArrow_left
46	btn_armyTabArrow_right	3	btn_armyTabArrow_right
47	btn_buttmo_ok	3	btn_buttmo_ok
48	btn_buttmo_other	3	btn_buttmo_other
49	btn_buttom_cancel	3	btn_buttom_cancel
50	btn_close	3	btn_close
51	btn_confirm	3	btn_confirm
52	btn_deck	3	btn_deck
53	btn_friend	3	btn_friend
54	btn_gacha	3	btn_gacha
55	btn_lecelArrow_left	3	btn_lecelArrow_left
56	btn_lecelArrow_right	3	btn_lecelArrow_right
57	btn_mainbuttom	3	btn_mainbuttom
58	btn_rare2	3	btn_rare2
59	btn_return	3	btn_return
60	btn_rotate	3	btn_rotate
61	btn_tab_selected	3	btn_tab_selected
62	btn_tab_unselected	3	btn_tab_unselected
63	Img_arrow	3	Img_arrow
64	ui_lobby_achievement	3	ui_lobby_achievement
65	Effect_SkillInfoBottom	3	Effect_SkillInfoBottom
66	ui_lobby_gacha	3	ui_lobby_gacha
67	ui_lobby_quest	3	ui_lobby_quest
68	efct_background_above	3	efct_background_above
69	efct_backline	3	efct_backline
70	efct_battledeck_bottom	3	efct_battledeck_bottom
71	efct_carddeck_right	3	efct_carddeck_right
72	efct_player_info	3	efct_player_info
73	ui_win_light	3	ui_win_light
74	ui_win_light02	3	ui_win_light02
75	frm_BattleFace	3	frm_BattleFace
76	frm_card	3	frm_card
77	frm_enemyArmySkill	3	frm_enemyArmySkill
78	frm_enemyBattleFace_Bg	3	frm_enemyBattleFace_Bg
79	frm_enemyHeroFace	3	frm_enemyHeroFace
80	frm_enemyHeroSkill	3	frm_enemyHeroSkill
81	frm_friendrequest_KeyinAreaBg	3	frm_friendrequest_KeyinAreaBg
82	frm_friendrequest_rightBg	3	frm_friendrequest_rightBg
83	frm_friendrequest_topBg	3	frm_friendrequest_topBg
84	frm_hero_name	3	frm_hero_name
85	frm_information	3	frm_information
86	frm_levelName_Bg	3	frm_levelName_Bg
87	frm_loading	3	frm_loading
88	frm_playerArmySkill	3	frm_playerArmySkill
89	frm_playerBattleFace_Bg	3	frm_playerBattleFace_Bg
90	frm_playerHeroFace	3	frm_playerHeroFace
91	frm_playerHeroSkill	3	frm_playerHeroSkill
92	frm_playericon_mainui	3	frm_playericon_mainui
93	frm_resource	3	frm_resource
94	frm_select	3	frm_select
95	frm_skill	3	frm_skill
96	frm_skill_icon_cardinfoui	3	frm_skill_icon_cardinfoui
97	frm_skillInfo_Bg	3	frm_skillInfo_Bg
98	frm_skillInfo_downPeak	3	frm_skillInfo_downPeak
99	frm_skillInfo_leftPeak	3	frm_skillInfo_leftPeak
100	bamboo	3	bamboo
101	bambooroll	3	bambooroll
102	blank	3	blank
103	icn_clock	3	icn_clock
104	icn_fight	3	icn_fight
105	icn_hero	3	icn_hero
106	icn_lock3	3	icn_lock3
107	icn_match_found	3	icn_match_found
108	icn_match_searching	3	icn_match_searching
109	icn_settings	3	icn_settings
110	icn_star	3	icn_star
111	icn_tile	3	icn_tile
112	Icon_HeroQuality_Dark	3	Icon_HeroQuality_Dark
113	icon_Level	3	icon_Level
114	icon_matchBattle	3	icon_matchBattle
115	icon_skill_na004	3	icon_skill_na004
116	icon_skill_na005	3	icon_skill_na005
117	icon_skill_na012	3	icon_skill_na012
118	icon_skill_na014	3	icon_skill_na014
119	icon_skill_na018	3	icon_skill_na018
120	NewMessage_Icon	3	NewMessage_Icon
121	Icon_AllCard	3	Icon_AllCard
122	Icon_HeroTab	3	Icon_HeroTab
123	Icon_RareTab	3	Icon_RareTab
124	imgw_achievement	3	imgw_achievement
125	imgw_all_card	3	imgw_all_card
126	imgw_armyType	3	imgw_armyType
127	imgw_back	3	imgw_back
128	imgw_castle	3	imgw_castle
129	imgw_deck	3	imgw_deck
130	imgw_defeated	3	imgw_defeated
131	imgw_fight	3	imgw_fight
132	imgw_end_round	3	imgw_end_round
133	imgw_enemy_round	3	imgw_enemy_round
134	imgw_friends	3	imgw_friends
135	imgw_friends_forTab	3	imgw_friends_forTab
136	imgw_friendsRequest_forTab	3	imgw_friendsRequest_forTab
137	imgw_gacha	3	imgw_gacha
138	imgw_leaderboard	3	imgw_leaderboard
139	imgw_level	3	imgw_level
140	imgw_lose	3	imgw_lose
141	imgw_match	3	imgw_match
142	imgw_rare	3	imgw_rare
143	imgw_road	3	imgw_road
144	imgw_score	3	imgw_score
145	imgw_score_resultui	3	imgw_score_resultui
146	imgw_settingComplete	3	imgw_settingComplete
147	imgw_skill	3	imgw_skill
148	imgw_startLevel	3	imgw_startLevel
149	imgw_startMatch	3	imgw_startMatch
150	imgw_tap_to_start	3	imgw_tap_to_start
151	imgw_tower	3	imgw_tower
152	imgw_win	3	imgw_win
153	KingdomType_other	3	KingdomType_other
154	KingdomType_Shu	3	KingdomType_Shu
155	KingdomType_Wei	3	KingdomType_Wei
156	KingdomType_Wu	3	KingdomType_Wu
157	Achievement_theme	3	Achievement_theme
158	coin	3	coin
159	H1	3	H1
160	H2	3	H2
161	H3	3	H3
162	H4	3	H4
163	H5	3	H5
164	H6	3	H6
165	H7	3	H7
166	H8	3	H8
167	H9	3	H9
168	H10	3	H10
169	H11	3	H11
170	H12	3	H12
171	H13	3	H13
172	H14	3	H14
173	H15	3	H15
174	H16	3	H16
175	H17	3	H17
176	H18	3	H18
177	H19	3	H19
178	H20	3	H20
179	H21	3	H21
180	H22	3	H22
181	H23	3	H23
182	H24	3	H24
183	H25	3	H25
184	H26	3	H26
185	H27	3	H27
186	H28	3	H28
187	H29	3	H29
188	H30	3	H30
189	H31	3	H31
190	H32	3	H32
191	H33	3	H33
192	H34	3	H34
193	H35	3	H35
194	H36	3	H36
195	H37	3	H37
196	H38	3	H38
197	H39	3	H39
198	H40	3	H40
199	H41	3	H41
200	H42	3	H42
201	H43	3	H43
202	H44	3	H44
203	H45	3	H45
204	H46	3	H46
205	H47	3	H47
206	H48	3	H48
207	H49	3	H49
208	H50	3	H50
209	H51	3	H51
210	H52	3	H52
211	H53	3	H53
212	H54	3	H54
213	H55	3	H55
214	H56	3	H56
215	LoginBackground	3	LoginBackground
216	MaskCircle	3	MaskCircle
217	MaskCircle_irregular	3	MaskCircle_irregular
218	MaskSquare	3	MaskSquare
219	MatchMakingBackground	3	MatchMakingBackground
220	sprt_battledeckcard_mask	3	sprt_battledeckcard_mask
221	sprt_battledeckcard_mask2	3	sprt_battledeckcard_mask2
222	sprt_HP_bar	3	sprt_HP_bar
223	sprt_loading_bar	3	sprt_loading_bar
224	sprt_loading_panel	3	sprt_loading_panel
225	sprt_panel_card	3	sprt_panel_card
226	txtur_atk	3	txtur_atk
227	txtur_def	3	txtur_def
228	txtur_font_white	3	txtur_font_white
229	txtur_font_yellow	3	txtur_font_yellow
230	txtur_info_separate_horizontal	3	txtur_info_separate_horizontal
231	txtur_lose	3	txtur_lose
232	txtur_result_separate_line	3	txtur_result_separate_line
233	txtur_separation_line	3	txtur_separation_line
234	txtur_win	3	txtur_win
235	flag01	3	flag01
236	flag02	3	flag02
237	house01	3	house01
238	house02	3	house02
239	house03	3	house03
240	house04	3	house04
241	house05	3	house05
242	map001	3	map001
243	map002	3	map002
244	map003	3	map003
245	map004	3	map004
246	map005	3	map005
247	map006	3	map006
248	map007	3	map007
249	map008	3	map008
250	map009	3	map009
251	map010	3	map010
252	map011	3	map011
253	map012	3	map012
254	map013	3	map013
255	map014	3	map014
256	map015	3	map015
257	map016	3	map016
258	map017	3	map017
259	map018	3	map018
260	map019	3	map019
261	map020	3	map020
262	wall01	3	wall01
284	ABS00001	4	ABS00001
285	AS00001	4	AS00001
286	BGM00001	4	BGM00001
287	BGM00002	4	BGM00002
288	BGM00003	4	BGM00003
289	BGM00004	4	BGM00004
290	BS00001	4	BS00001
291	BS00002	4	BS00002
292	GS00002	4	GS00002
293	LS00001	4	LS00001
294	MS00001	4	MS00001
295	MS00002	4	MS00002
296	MS00003	4	MS00003
297	MS00004	4	MS00004
298	MS00005	4	MS00005
299	MS00006	4	MS00006
300	MS00007	4	MS00007
301	MS00008	4	MS00008
302	MS00009	4	MS00009
303	MS00010	4	MS00010
304	MS00011	4	MS00011
305	MS00012	4	MS00012
306	MS00013	4	MS00013
307	MS00014	4	MS00014
308	MS00015	4	MS00015
309	MS00016	4	MS00016
310	ArmyData	9	ArmyData
311	ArmyUnlockData	9	ArmyUnlockData
312	AttributeLinkData	9	AttributeLinkData
313	HeroArmyData	9	HeroArmyData
314	HeroData	9	HeroData
315	PlayerHeroData	9	PlayerHeroData
316	ResourceListData	9	ResourceListData
317	SkillData	9	SkillData
318	SkillEffectData	9	SkillEffectData
319	Shoot	1	Shoot
320	ArcherAnimator	1	ArcherAnimator
321	Arrow	1	Arrow
322	FootmanAnimator	1	FootmanAnimator
323	HorsemanAnimator	1	HorsemanAnimator
324	Camera	1	Camera
325	FadeIn	1	FadeIn
326	Idle	1	Idle
327	shaking	1	shaking
328	Gacha_Animation	10	Gacha_Animation
329	CFX_CircularLightWall	6	CFX_CircularLightWall
330	CFX_Flash	6	CFX_Flash
331	CFX_SoftStar	6	CFX_SoftStar
332	CFX_DoubleFlameA	6	CFX_DoubleFlameA
333	CFX_DoubleFlameB	6	CFX_DoubleFlameB
334	ef_m_player05_special_a	6	ef_m_player05_special_a
335	ef_m_player01_magic2	6	ef_m_player01_magic2
336	CFX_GroundAura	6	CFX_GroundAura
337	CFX_Ripple	6	CFX_Ripple
338	CFX_Shash_B Green	6	CFX_Shash_B Green
339	CFX_Virus	6	CFX_Virus
340	CFX_SmokePuffsAlt	6	CFX_SmokePuffsAlt
341	CFX_SmokePuffs	6	CFX_SmokePuffs
342	CFX_Ground Hit	6	CFX_Ground Hit
343	CFX_Hit_A Red	6	CFX_Hit_A Red
344	CFX_Hit_C White	6	CFX_Hit_C White
345	CFX_Poof	6	CFX_Poof
346	btn_qustFinished	3	btn_qustFinished
347	btn_qustUnfinished	3	btn_qustUnfinished
348	imgw_finished	3	imgw_finished
349	imgw_NotFinish	3	imgw_NotFinish
350	icn_brand	3	icn_brand
351	btn_skill	3	btn_skill
